family	upstream_symbol	upstream_signature	header_path_line	feature_gate	overload_disposition	go_symbol	go_signature	input_unit	output_unit	result_shape	count_meaning	destination_precondition	alias_contract	scalar_source	amd64_source	arm64_source	test_source	fuzz_source	benchmark_source	status	milestone	exclusion_reason
Transcoding/length	simdutf::convert_utf16be_to_latin1_with_errors	result (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2148	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16BEToLatin1WithErrors	func ConvertUTF16BEToLatin1WithErrors(input []uint16, dst []byte) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/convert_utf16be_to_latin1_tests_with_errors.cpp;tests/span_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF16BEToLatin1WithErrors)	not_applicable: no convert_utf16be_to_latin1_with_errors occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16_to_utf8_with_errors	result (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2188	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16ToUTF8WithErrors	func ConvertUTF16ToUTF8WithErrors(input []uint16, dst []byte) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:2188; native-endian delegate to simdutf::convert_utf16le_to_utf8_with_errors or simdutf::convert_utf16be_to_utf8_with_errors	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/convert_utf16le_to_utf8_with_errors_tests.cpp;tests/simdutf_c_tests.cpp;tests/span_tests.cpp;tests/straight_c_test.c	not_applicable: no convert_utf16_to_utf8_with_errors occurrence under fuzz at pinned tree	not_applicable: no convert_utf16_to_utf8_with_errors occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16le_to_utf8_with_errors	result (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2225	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16LEToUTF8WithErrors	func ConvertUTF16LEToUTF8WithErrors(input []uint16, dst []byte) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/convert_utf16le_to_utf8_with_errors_tests.cpp;tests/convert_valid_utf16le_to_utf8_tests.cpp;tests/span_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF16LEToUTF8WithErrors)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16be_to_utf8_with_errors	result (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2262	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16BEToUTF8WithErrors	func ConvertUTF16BEToUTF8WithErrors(input []uint16, dst []byte) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_utf16be_to_utf8_with_errors_tests.cpp;tests/convert_valid_utf16be_to_utf8_tests.cpp;tests/span_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF16BEToUTF8WithErrors)	not_applicable: no convert_utf16be_to_utf8_with_errors occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16le_to_utf8_with_replacement	size_t (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2297	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16LEToUTF8WithReplacement	func ConvertUTF16LEToUTF8WithReplacement(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/convert_utf16_to_utf8_with_replacement_tests.cpp	fuzz/with_replacement.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF16LEToUTF8WithReplacement)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16be_to_utf8_with_replacement	size_t (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2332	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16BEToUTF8WithReplacement	func ConvertUTF16BEToUTF8WithReplacement(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/convert_utf16_to_utf8_with_replacement_tests.cpp	fuzz/with_replacement.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF16BEToUTF8WithReplacement)	not_applicable: no convert_utf16be_to_utf8_with_replacement occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16_to_utf8_with_replacement	size_t (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2367	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16ToUTF8WithReplacement	func ConvertUTF16ToUTF8WithReplacement(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:2367; native-endian delegate to simdutf::convert_utf16le_to_utf8_with_replacement or simdutf::convert_utf16be_to_utf8_with_replacement	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/CMakeLists.txt;tests/convert_utf16_to_utf8_with_replacement_tests.cpp	not_applicable: no convert_utf16_to_utf8_with_replacement occurrence under fuzz at pinned tree	not_applicable: no convert_utf16_to_utf8_with_replacement occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf16_to_utf8	size_t (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2403	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertValidUTF16ToUTF8	func ConvertValidUTF16ToUTF8(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:2403; native-endian delegate to simdutf::convert_valid_utf16le_to_utf8 or simdutf::convert_valid_utf16be_to_utf8	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/convert_valid_utf16le_to_utf8_tests.cpp;tests/span_tests.cpp;tests/special_tests.cpp	not_applicable: no convert_valid_utf16_to_utf8 occurrence under fuzz at pinned tree	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf16_to_latin1	size_t (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2445	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertValidUTF16ToLatin1	func ConvertValidUTF16ToLatin1(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:2445; native-endian delegate to simdutf::convert_valid_utf16le_to_latin1 or simdutf::convert_valid_utf16be_to_latin1	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/convert_valid_utf16le_to_latin1_tests.cpp;tests/span_tests.cpp	not_applicable: no convert_valid_utf16_to_latin1 occurrence under fuzz at pinned tree	not_applicable: no convert_valid_utf16_to_latin1 occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf16le_to_latin1	size_t (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2487	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertValidUTF16LEToLatin1	func ConvertValidUTF16LEToLatin1(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_valid_utf16le_to_latin1_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/span_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertValidUTF16LEToLatin1)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf16be_to_latin1	size_t (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2529	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertValidUTF16BEToLatin1	func ConvertValidUTF16BEToLatin1(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_valid_utf16be_to_latin1_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/span_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertValidUTF16BEToLatin1)	not_applicable: no convert_valid_utf16be_to_latin1 occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf16le_to_utf8	size_t (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2567	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertValidUTF16LEToUTF8	func ConvertValidUTF16LEToUTF8(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_valid_utf16le_to_utf8_tests.cpp;tests/convert_valid_utf8_to_utf16le_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/span_tests.cpp;tests/special_tests.cpp;tests/validate_utf16le_basic_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertValidUTF16LEToUTF8)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf16be_to_utf8	size_t (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2601	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertValidUTF16BEToUTF8	func ConvertValidUTF16BEToUTF8(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_valid_utf16be_to_utf8_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/span_tests.cpp;tests/special_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertValidUTF16BEToUTF8)	not_applicable: no convert_valid_utf16be_to_utf8 occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16_to_utf32	size_t (const char16_t *, size_t, char32_t *) noexcept	include/simdutf/implementation.h:2639	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF16ToUTF32	func ConvertUTF16ToUTF32(input []uint16, dst []uint32) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	UTF-32 code units ([]uint32)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:2639; native-endian delegate to simdutf::convert_utf16le_to_utf32 or simdutf::convert_utf16be_to_utf32	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/basic_fuzzer.cpp;tests/convert_utf16le_to_utf32_tests.cpp;tests/convert_utf16le_to_utf32_with_errors_tests.cpp;tests/simdutf_c_tests.cpp	not_applicable: no convert_utf16_to_utf32 occurrence under fuzz at pinned tree	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
